"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Сотрудники","0","Управление и получение сотрудников","2","0","Создание сотрудника","0"
"0","Сотрудники","0","Управление и получение сотрудников","4","0","Изменение сотрудника","0"
"0","Сотрудники","0","Управление и получение сотрудников","1","0","Получение сотрудника","0"
